Round,Winner,W1Q,W2Q,W3Q,W4Q,Win Total,Win Margin,Round,Loser,L1Q,L2Q,L3Q,L4Q,Lose Total,Lose Margin
1,Giants,10,17,15,16,58,5,1,Swifts,13,14,15,11,53,-5
1,Vixens,15,11,16,16,58,3,1,Magpies,13,14,12,16,55,-3
1,Thunderbirds,14,13,10,19,56,5,1,Fever,16,13,14,8,51,-5
2,Giants,18,17,17,14,66,15,2,Fever,12,10,12,17,51,-15
2,Lightning,12,15,16,15,58,6,2,Vixens,15,12,10,15,52,-6
2,Magpies,12,18,14,10,54,4,2,Firebirds,13,13,10,14,50,-4
2,Swifts,16,11,16,11,54,10,2,Thunderbirds,9,11,12,12,44,-10
3,Firebirds,18,16,13,13,60,13,3,Fever,9,9,15,14,47,-13
3,Giants,13,14,13,19,59,8,3,Magpies,10,11,13,17,51,-8
3,Lightning,14,13,11,13,51,9,3,Thunderbirds,10,10,12,10,42,-9
4,Firebirds,14,16,14,18,62,9,4,Swifts,13,14,16,10,53,-9
4,Giants,13,12,16,14,55,1,4,Lightning,17,12,11,14,54,-1
4,Vixens,14,13,12,17,56,11,4,Fever,10,13,11,11,45,-11
4,Magpies,17,16,15,16,64,19,4,Thunderbirds,10,8,11,16,45,-19
5,Fever,13,13,11,13,50,5,5,Swifts,10,14,11,10,45,-5
5,Vixens,17,16,19,14,66,16,5,Firebirds,11,12,10,17,50,-16
5,Lightning,15,11,14,11,51,1,5,Magpies,14,15,8,13,50,-1
5,Giants,14,13,13,13,53,15,5,Thunderbirds,10,14,8,6,38,-15
6,Lightning,19,16,16,15,66,17,6,Fever,12,8,16,13,49,-17
6,Vixens,15,12,15,17,59,8,6,Giants,11,14,13,13,51,-8
6,Firebirds,16,14,14,5,49,10,6,Thunderbirds,5,13,8,13,39,-10
6,Magpies,14,13,16,12,55,1,6,Swifts,11,16,12,15,54,-1
7,Fever,15,12,15,15,57,17,7,Thunderbirds,10,12,11,7,40,-17
7,Giants,13,17,12,17,59,3,7,Swifts,16,15,15,10,56,-3
7,Lightning,15,14,14,17,60,11,7,Firebirds,12,13,12,12,49,-11
7,Vixens,15,14,14,17,60,4,7,Magpies,15,15,12,14,56,-4
8,Magpies,14,14,13,15,56,13,8,Fever,11,16,6,10,43,-13
8,Giants,14,13,13,15,55,4,8,Firebirds,10,13,14,14,51,-4
8,Vixens,20,16,18,21,75,21,8,Thunderbirds,13,18,11,12,54,-21
8,Lightning,15,17,7,16,55,5,8,Swifts,16,10,17,7,50,-5
9,Lightning,16,15,10,18,59,9,9,Thunderbirds,10,11,17,12,50,-9
9,Firebirds,16,14,13,12,55,5,9,Fever,10,13,11,16,50,-5
9,Magpies,15,16,16,12,59,3,9,Giants,13,16,12,15,56,-3
9,Vixens,17,18,15,12,62,8,9,Swifts,15,15,13,11,54,-8
10,Vixens,20,18,16,16,70,11,10,Lightning,14,18,15,12,59,-11
10,Swifts,10,15,14,12,51,3,10,Thunderbirds,16,7,12,13,48,-3
10,Magpies,18,13,12,18,61,2,10,Firebirds,17,14,12,16,59,-2
10,Giants,10,15,12,11,48,3,10,Fever,11,13,9,12,45,-3
11,Swifts,13,11,10,16,50,2,11,Fever,11,13,15,9,48,-2
11,Vixens,19,18,14,15,66,11,11,Firebirds,15,13,9,18,55,-11
11,Lightning,14,15,13,14,56,7,11,Magpies,12,11,14,12,49,-7
11,Giants,15,9,13,12,49,2,11,Thunderbirds,11,13,11,12,47,-2
12,Lightning,13,18,17,16,64,14,12,Fever,13,11,16,10,50,-14
12,Magpies,16,17,15,14,62,12,12,Swifts,12,11,15,12,50,-12
12,Firebirds,13,12,18,16,59,11,12,Thunderbirds,10,7,13,18,48,-11
12,Giants,15,13,14,14,56,4,12,Vixens,11,14,10,17,52,-4
13,Firebirds,17,14,12,13,56,3,13,Giants,15,9,13,16,53,-3
13,Lightning,15,18,14,16,63,14,13,Swifts,12,14,12,11,49,-14
13,Magpies,12,16,10,11,49,7,13,Fever,12,9,13,8,42,-7
13,Vixens,17,17,16,21,71,21,13,Thunderbirds,16,13,9,12,50,-21
14,Firebirds,13,20,15,19,67,19,14,Swifts,18,9,10,11,48,-19
14,Lightning,14,18,9,15,56,1,14,Giants,15,13,13,14,55,-1
14,Vixens,18,15,13,22,68,26,14,Fever,11,12,11,8,42,-26
14,Magpies,14,14,7,14,49,2,14,Thunderbirds,9,11,15,12,47,-2
